epoch,train_loss,val_loss
1,2.152010334862603,4.12774658203125
2,1.48078695743803,0.8266435861587524
3,0.8369801583744231,0.9302344918251038
4,0.6296953000719585,0.8287009596824646
5,0.7740067886927772,0.8620568513870239
6,0.922717811569335,0.9908056259155273
7,0.9236335830082969,0.8364744186401367
8,0.8083604602586656,0.7537115216255188
9,0.7052158666035485,0.6596666574478149
10,0.6403135827609471,0.6406534314155579
11,0.5991167568025135,0.7510997653007507
12,0.6964681952718704,0.8450161218643188
13,0.7528425303716508,0.7766245007514954
14,0.7081878743474446,0.6498183012008667
15,0.6194665942873273,0.7774267792701721
16,0.7105970647599962,0.6229435801506042
17,0.5997865360880655,0.8931437730789185
18,0.6407573819160461,0.6655638813972473
19,0.5931642613713703,0.7478262186050415
20,0.6102339388832213,0.7525282502174377
21,0.6165199364934649,0.7618789672851562
22,0.6539619735309056,0.7782897353172302
23,0.6474385185847207,0.7064494490623474
24,0.5860236599331811,0.7319132685661316
25,0.602846866562253,0.6196839213371277
26,0.501151128420754,0.7208505868911743
27,0.5307824611663818,0.6324651837348938
28,0.46739644427148125,0.6254744529724121
29,0.4670085377163357,0.5957334041595459
30,0.39633689087534707,0.6160357594490051
